type,ID,MC,SF,CSM,_JWDWZZB__ID,_JWDWZZB__WD,_JWDWZZB__JD,
ZGCS,56310066-b70e-4370-9178-588b973d7b69,山东省泰安市,山东省,泰安市,56310066-b70e-4370-9178-588b973d7b69,36.18268983,117.1285111,
ZGCS,28fefe2d-cce8-40cf-a9b7-d8a3b54d2488,山东省日照市,山东省,日照市,28fefe2d-cce8-40cf-a9b7-d8a3b54d2488,35.4194863,119.4466267,
ZGCS,ac33eb41-84db-43d8-9a2d-468bcd7febdc,山东省临沂市,山东省,临沂市,ac33eb41-84db-43d8-9a2d-468bcd7febdc,35.05703269,118.3357393,
ZGCS,942298e5-7020-4e55-a7e4-d335aa9b7e3d,山东省德州市,山东省,德州市,942298e5-7020-4e55-a7e4-d335aa9b7e3d,37.44600637,116.2794918,
ZGCS,a93cde71-6ae8-4b0f-ab23-738f1a6a75fd,山东省聊城市,山东省,聊城市,a93cde71-6ae8-4b0f-ab23-738f1a6a75fd,36.44737878,115.9717666,
ZGCS,241ee234-7166-494b-a964-9c99a24ae315,山东省滨州市,山东省,滨州市,241ee234-7166-494b-a964-9c99a24ae315,37.36984475,118.0096969,
ZGCS,604bfc9c-2acb-4442-ba1e-669c3274b276,山东省菏泽市,山东省,菏泽市,604bfc9c-2acb-4442-ba1e-669c3274b276,35.23984471,115.4364177,
ZGCS,80d9a6cb-b456-4454-a1f9-453cdb18e97a,安徽省合肥市,安徽省,合肥市,80d9a6cb-b456-4454-a1f9-453cdb18e97a,31.863255,117.2757,
ZGCS,c8e6fcd9-8718-413a-94b0-59e4cc70cdc4,安徽省芜湖市,安徽省,芜湖市,c8e6fcd9-8718-413a-94b0-59e4cc70cdc4,31.334496,118.35983,
ZGCS,1339e456-ba3e-47d7-8615-50bf55ed47ac,安徽省蚌埠市,安徽省,蚌埠市,1339e456-ba3e-47d7-8615-50bf55ed47ac,32.94161599,117.3356175,
ZGCS,b827aef3-6fd8-4138-93ed-87b7f7c8de5c,安徽省淮南市,安徽省,淮南市,b827aef3-6fd8-4138-93ed-87b7f7c8de5c,32.63000115,116.980002,
ZGCS,79fc37a2-5675-42b8-b0f0-17e9a5280f6a,安徽省马鞍山市,安徽省,马鞍山市,79fc37a2-5675-42b8-b0f0-17e9a5280f6a,31.73000094,118.4800002,
ZGCS,d2d478b8-f4a2-4bff-9d1f-9e83b5c121f7,安徽省淮北市,安徽省,淮北市,d2d478b8-f4a2-4bff-9d1f-9e83b5c121f7,33.94998885,116.7499925,
ZGCS,20a4c0d3-9886-4a5e-bf9b-fedb2d56351c,安徽省铜陵市,安徽省,铜陵市,20a4c0d3-9886-4a5e-bf9b-fedb2d56351c,30.953846,117.7875,
ZGCS,c38f14b0-d2ad-4786-bdbd-5ddc351abcf9,安徽省安庆市,安徽省,安庆市,c38f14b0-d2ad-4786-bdbd-5ddc351abcf9,30.49837531,117.0472002,
ZGCS,fdb8c857-0eb0-4e4e-b206-0c5aaa6bd663,安徽省黄山市,安徽省,黄山市,fdb8c857-0eb0-4e4e-b206-0c5aaa6bd663,29.7219639,118.3172877,
ZGCS,fa276e28-5393-4c8e-a43c-2a78bc934b51,安徽省滁州市,安徽省,滁州市,fa276e28-5393-4c8e-a43c-2a78bc934b51,32.30000031,118.3000032,
ZGCS,d3d54348-a96c-42b2-ae59-9738c8fe6dde,安徽省阜阳市,安徽省,阜阳市,d3d54348-a96c-42b2-ae59-9738c8fe6dde,32.90001392,115.8200032,
ZGCS,054415a2-1b35-4985-8457-1bbef21934d8,安徽省宿州市,安徽省,宿州市,054415a2-1b35-4985-8457-1bbef21934d8,33.63990462,116.9997026,
ZGCS,07650ee9-1703-4b01-ae1f-4e0d7dd106f8,安徽省巢湖市,安徽省,巢湖市,07650ee9-1703-4b01-ae1f-4e0d7dd106f8,31.714224,118.36112,
ZGCS,9ff9e7c8-8582-4bbc-b28c-5ccd13541ec7,安徽省六安市,安徽省,六安市,9ff9e7c8-8582-4bbc-b28c-5ccd13541ec7,31.74991089,116.4800943,
ZGCS,738b92c2-adb3-46fc-94d7-dc9613c09f61,安徽省亳州市,安徽省,亳州市,738b92c2-adb3-46fc-94d7-dc9613c09f61,33.86973504,115.7601057,
ZGCS,60125ab2-d6b2-4679-8dfe-718e15ad280d,安徽省池州市,安徽省,池州市,60125ab2-d6b2-4679-8dfe-718e15ad280d,30.64977253,117.4802231,
ZGCS,96e92c29-50ce-49de-b49a-941d124e594e,安徽省宣城市,安徽省,宣城市,96e92c29-50ce-49de-b49a-941d124e594e,30.93999484,118.7400017,
ZGCS,0a13d4b6-19e1-4cd7-9151-657c4b1eaac3,福建省福州市,福建省,福州市,0a13d4b6-19e1-4cd7-9151-657c4b1eaac3,26.07859,119.29781,
ZGCS,a5d8623b-a9c5-466e-bbce-c8e251800a2e,福建省厦门市,福建省,厦门市,a5d8623b-a9c5-466e-bbce-c8e251800a2e,24.457436,118.08752,
ZGCS,112d1dc6-f8c8-4988-a100-8c446b3fd807,福建省莆田市,福建省,莆田市,112d1dc6-f8c8-4988-a100-8c446b3fd807,25.438137,119.01032,
ZGCS,d744e932-e7d8-4f4a-a2d5-a650157116b0,福建省泉州市,福建省,泉州市,d744e932-e7d8-4f4a-a2d5-a650157116b0,24.915918,118.58964,
ZGCS,5801d6a3-dec9-4d61-b557-f1b63beab074,福建省漳州市,福建省,漳州市,5801d6a3-dec9-4d61-b557-f1b63beab074,24.518164,117.65309,
ZGCS,73c2b12b-d9e6-4b90-bc58-3a10cdb75458,福建省南平市,福建省,南平市,73c2b12b-d9e6-4b90-bc58-3a10cdb75458,26.644842,118.16912,
ZGCS,cf1b2cf4-2214-4770-9adc-abc63388d267,福建省龙岩市,福建省,龙岩市,cf1b2cf4-2214-4770-9adc-abc63388d267,25.109703,117.03039,
ZGCS,f39a9c02-80c5-4bb5-aac5-fd3331e7fb2d,福建省三明市,福建省,三明市,f39a9c02-80c5-4bb5-aac5-fd3331e7fb2d,26.223013,117.60123,
ZGCS,c979ae0a-8fac-48e9-85cc-35fe4087c581,福建省宁德市,福建省,宁德市,c979ae0a-8fac-48e9-85cc-35fe4087c581,26.666477,119.51832,
ZGCS,ca2c2cdd-c375-434c-ae41-f221edd876a7,河北省石家庄市,河北省,石家庄市,ca2c2cdd-c375-434c-ae41-f221edd876a7,38.0419423,114.4985925,
ZGCS,201edce7-8715-446b-b4a2-8828d4587ebc,河北省唐山市,河北省,唐山市,201edce7-8715-446b-b4a2-8828d4587ebc,39.61520269,118.180048,
ZGCS,b5fe5bcf-ef3c-4a04-bf63-0d3546cbe743,河北省秦皇岛市,河北省,秦皇岛市,b5fe5bcf-ef3c-4a04-bf63-0d3546cbe743,39.93126745,119.5975422,
ZGCS,79b64bd5-ee56-46a8-9e77-f37e51f30188,河北省邯郸市,河北省,邯郸市,79b64bd5-ee56-46a8-9e77-f37e51f30188,36.588005,114.53043,
ZGCS,9e4bc495-11cf-4bb9-916c-ee85fdad1cc8,河北省邢台市,河北省,邢台市,9e4bc495-11cf-4bb9-916c-ee85fdad1cc8,37.05825057,114.4924337,
ZGCS,2b8a3774-be2e-4031-b7fa-f106e0102ac2,河北省保定市,河北省,保定市,2b8a3774-be2e-4031-b7fa-f106e0102ac2,38.85522665,115.4803674,
ZGCS,99edfbec-f8f4-4589-b6fb-638234761e8e,河北省张家口市,河北省,张家口市,99edfbec-f8f4-4589-b6fb-638234761e8e,40.81274367,114.8785354,
ZGCS,363e07e6-3774-478f-ab39-e93e397ab2b2,河北省承德市,河北省,承德市,363e07e6-3774-478f-ab39-e93e397ab2b2,40.96413424,117.9280723,
ZGCS,6f3fc45b-10e9-4b4b-aeef-12f74928ec3b,河北省沧州市,河北省,沧州市,6f3fc45b-10e9-4b4b-aeef-12f74928ec3b,38.308842,116.86077,
ZGCS,2174de41-8be9-4d20-848c-d43ff9dbc7c3,河北省廊坊市,河北省,廊坊市,2174de41-8be9-4d20-848c-d43ff9dbc7c3,39.521315,116.707141,
ZGCS,f993ba17-39a6-4a5a-9b74-e5a0c9ff12dc,河北省衡水市,河北省,衡水市,f993ba17-39a6-4a5a-9b74-e5a0c9ff12dc,37.72837398,115.6915966,
ZGCS,a7bfe766-3b86-481d-b041-8194a7f0fddb,山西省太原市,山西省,太原市,a7bfe766-3b86-481d-b041-8194a7f0fddb,37.89305015,112.551696,
ZGCS,50de18c0-9848-4de1-9a70-5359ed3da45b,山西省大同市,山西省,大同市,50de18c0-9848-4de1-9a70-5359ed3da45b,40.09260345,113.2855024,
